totalIterations;numWorkers;Duree;Pi;Error
1000000;1;24;3,140912000000000;0,000216658766698
2000000;2;30;3,143962000000000;0,000754186386163
3000000;3;30;3,141480000000000;0,000035858751345
4000000;4;33;3,141482000000000;0,000035222131573
5000000;5;35;3,141608000000000;0,000004884914086
6000000;6;37;3,141250000000000;0,000109070025168
7000000;7;38;3,140986857142857;0,000192830998075
8000000;8;35;3,142055500000000;0,000147328588154
9000000;9;37;3,141853777777778;0,000083118410557
10000000;10;42;3,142518000000000;0,000294546910514
11000000;11;41;3,141211636363636;0,000121281549892
12000000;12;44;3,141496666666667;0,000030553586575
1000000;1;26;3,140540000000000;0,000335070044358
2000000;2;27;3,140514000000000;0,000343346101399
3000000;3;29;3,139642666666667;0,000620700115560
4000000;4;30;3,141559000000000;0,000010712270337
5000000;5;32;3,141677600000000;0,000027039282165
6000000;6;36;3,142155333333333;0,000179106525124
7000000;7;38;3,141879428571428;0,000091283311765
8000000;8;38;3,140967500000000;0,000198992568014
9000000;9;38;3,141513777777778;0,000025106950745
10000000;10;40;3,141889200000000;0,000094393654081
11000000;11;39;3,141419272727273;0,000055188842615
12000000;12;46;3,141465000000000;0,000040633399638
1000000;1;23;3,141024000000000;0,000181008059445
2000000;2;28;3,142098000000000;0,000160856758316
3000000;3;30;3,141830666666667;0,000075761915410
4000000;4;30;3,140165000000000;0,000454436251677
5000000;5;32;3,142479200000000;0,000282196486930
6000000;6;34;3,142187333333333;0,000189292441482
7000000;7;36;3,141566857142857;0,000008211264088
8000000;8;35;3,141807500000000;0,000068387736380
9000000;9;38;3,141498666666667;0,000029916966803
10000000;10;38;3,141994000000000;0,000127752530153
11000000;11;34;3,141896727272727;0,000096789659406
12000000;12;48;3,140662666666667;0,000296024031653
1000000;1;24;3,141284000000000;0,000098247489037
2000000;2;29;3,141632000000000;0,000012524351355
3000000;3;32;3,141720000000000;0,000040535621339
4000000;4;34;3,141720000000000;0,000040535621339
5000000;5;35;3,140959200000000;0,000201634540070
6000000;6;37;3,141574666666667;0,000005725415453
7000000;7;39;3,142028571428571;0,000138756957647
8000000;8;37;3,142379500000000;0,000250460991277
9000000;9;35;3,141773333333334;0,000057512148602
10000000;10;38;3,141502000000000;0,000028855933849
11000000;11;37;3,141891272727273;0,000095053423663
12000000;12;45;3,141707666666667;0,000036609799409
1000000;1;24;3,142288000000000;0,000221335636691
2000000;2;28;3,141168000000000;0,000135171435835
3000000;3;31;3,142916000000000;0,000421234245215
4000000;4;30;3,140696000000000;0,000285413702113
5000000;5;37;3,141038400000000;0,000176424397084
6000000;6;35;3,141304666666667;0,000091669084723
7000000;7;35;3,141032000000000;0,000178461580356
8000000;8;37;3,141619500000000;0,000008545477777
